"Date(UTC)","UnixTimeStamp","No. of ERC20 Token Transfers"
"2020-05-09","1588982400","482854"
"2020-05-10","1589068800","444205"
"2020-05-11","1589155200","472008"
"2020-05-12","1589241600","468060"
"2020-05-13","1589328000","450821"
"2020-05-14","1589414400","475016"
"2020-05-15","1589500800","519038"
"2020-05-16","1589587200","493251"
"2020-05-17","1589673600","455396"
"2020-05-18","1589760000","503686"
"2020-05-19","1589846400","483110"
"2020-05-20","1589932800","494345"
"2020-05-21","1590019200","459940"
"2020-05-22","1590105600","504740"
"2020-05-23","1590192000","474949"
"2020-05-24","1590278400","438448"
"2020-05-25","1590364800","493044"
"2020-05-26","1590451200","486543"
"2020-05-27","1590537600","482264"
"2020-05-28","1590624000","492060"
"2020-05-29","1590710400","499509"
"2020-05-30","1590796800","460933"
"2020-05-31","1590883200","463271"
"2020-06-01","1590969600","499801"
"2020-06-02","1591056000","529945"
"2020-06-03","1591142400","484729"
"2020-06-04","1591228800","508151"
"2020-06-05","1591315200","486211"
"2020-06-06","1591401600","557473"
"2020-06-07","1591488000","573222"
"2020-06-08","1591574400","535339"
"2020-06-09","1591660800","517044"
"2020-06-10","1591747200","514404"
"2020-06-11","1591833600","491277"
"2020-06-12","1591920000","515655"
"2020-06-13","1592006400","471643"
"2020-06-14","1592092800","463063"
"2020-06-15","1592179200","514653"
"2020-06-16","1592265600","514563"
"2020-06-17","1592352000","529859"
"2020-06-18","1592438400","529846"
"2020-06-19","1592524800","572897"
"2020-06-20","1592611200","547762"
"2020-06-21","1592697600","559428"
"2020-06-22","1592784000","634837"
"2020-06-23","1592870400","659346"
"2020-06-24","1592956800","584545"
"2020-06-25","1593043200","544169"
"2020-06-26","1593129600","570798"
"2020-06-27","1593216000","547007"
"2020-06-28","1593302400","535941"
"2020-06-29","1593388800","559913"
"2020-06-30","1593475200","570953"
"2020-07-01","1593561600","568406"
"2020-07-02","1593648000","596188"
"2020-07-03","1593734400","590844"
"2020-07-04","1593820800","544421"
"2020-07-05","1593907200","492667"
"2020-07-06","1593993600","586049"
"2020-07-07","1594080000","594732"
"2020-07-08","1594166400","629970"
"2020-07-09","1594252800","613391"
"2020-07-10","1594339200","573716"
"2020-07-11","1594425600","528691"
"2020-07-12","1594512000","559093"
"2020-07-13","1594598400","659918"
"2020-07-14","1594684800","627006"
"2020-07-15","1594771200","571263"
"2020-07-16","1594857600","543190"
"2020-07-17","1594944000","582189"
"2020-07-18","1595030400","602926"
"2020-07-19","1595116800","633438"
"2020-07-20","1595203200","673343"
"2020-07-21","1595289600","660325"
"2020-07-22","1595376000","652397"
"2020-07-23","1595462400","646703"
"2020-07-24","1595548800","670674"
"2020-07-25","1595635200","677550"
"2020-07-26","1595721600","650173"
"2020-07-27","1595808000","708791"
"2020-07-28","1595894400","677661"
"2020-07-29","1595980800","668519"
"2020-07-30","1596067200","693366"
"2020-07-31","1596153600","726870"
"2020-08-01","1596240000","704662"
"2020-08-02","1596326400","654478"
"2020-08-03","1596412800","701438"
"2020-08-04","1596499200","676166"
"2020-08-05","1596585600","683130"
"2020-08-06","1596672000","687868"
"2020-08-07","1596758400","738711"
"2020-08-08","1596844800","717674"
"2020-08-09","1596931200","772604"
"2020-08-10","1597017600","825333"
"2020-08-11","1597104000","794248"
"2020-08-12","1597190400","787084"
"2020-08-13","1597276800","777824"
"2020-08-14","1597363200","758913"
"2020-08-15","1597449600","718154"
"2020-08-16","1597536000","725333"
"2020-08-17","1597622400","770494"
"2020-08-18","1597708800","823354"
"2020-08-19","1597795200","798076"
"2020-08-20","1597881600","803562"
"2020-08-21","1597968000","843942"
"2020-08-22","1598054400","757154"
"2020-08-23","1598140800","795007"
"2020-08-24","1598227200","860096"
"2020-08-25","1598313600","806092"
"2020-08-26","1598400000","826240"
"2020-08-27","1598486400","810725"
"2020-08-28","1598572800","835637"
"2020-08-29","1598659200","863889"
"2020-08-30","1598745600","876757"
"2020-08-31","1598832000","949155"
"2020-09-01","1598918400","978688"
"2020-09-02","1599004800","998753"
"2020-09-03","1599091200","986426"
"2020-09-04","1599177600","914460"
"2020-09-05","1599264000","897740"
"2020-09-06","1599350400","836061"
"2020-09-07","1599436800","845539"
"2020-09-08","1599523200","846538"
"2020-09-09","1599609600","882500"
"2020-09-10","1599696000","968679"
"2020-09-11","1599782400","973608"
"2020-09-12","1599868800","943188"
"2020-09-13","1599955200","963404"
"2020-09-14","1600041600","987395"
"2020-09-15","1600128000","981865"
"2020-09-16","1600214400","963869"
"2020-09-17","1600300800","969820"
"2020-09-18","1600387200","999369"
"2020-09-19","1600473600","978819"
"2020-09-20","1600560000","970932"
"2020-09-21","1600646400","940495"
"2020-09-22","1600732800","945719"
"2020-09-23","1600819200","933479"
"2020-09-24","1600905600","902284"
"2020-09-25","1600992000","888034"
"2020-09-26","1601078400","877127"
"2020-09-27","1601164800","846923"
"2020-09-28","1601251200","893960"
"2020-09-29","1601337600","929463"
"2020-09-30","1601424000","958913"
"2020-10-01","1601510400","872258"
"2020-10-02","1601596800","857632"
"2020-10-03","1601683200","852085"
"2020-10-04","1601769600","862958"
"2020-10-05","1601856000","929214"
"2020-10-06","1601942400","946355"
"2020-10-07","1602028800","919912"
"2020-10-08","1602115200","901236"
"2020-10-09","1602201600","920272"
"2020-10-10","1602288000","891639"
"2020-10-11","1602374400","887063"
"2020-10-12","1602460800","942638"
"2020-10-13","1602547200","945979"
"2020-10-14","1602633600","925357"
"2020-10-15","1602720000","938860"
"2020-10-16","1602806400","897951"
"2020-10-17","1602892800","884121"
"2020-10-18","1602979200","878575"
"2020-10-19","1603065600","982336"
"2020-10-20","1603152000","959605"
"2020-10-21","1603238400","989882"
"2020-10-22","1603324800","969757"
"2020-10-23","1603411200","926391"
"2020-10-24","1603497600","866814"
"2020-10-25","1603584000","855745"
"2020-10-26","1603670400","924530"
"2020-10-27","1603756800","940074"
"2020-10-28","1603843200","953164"
"2020-10-29","1603929600","967085"
"2020-10-30","1604016000","931888"
"2020-10-31","1604102400","938257"
"2020-11-01","1604188800","913350"
"2020-11-02","1604275200","934755"
"2020-11-03","1604361600","967398"
"2020-11-04","1604448000","888464"
"2020-11-05","1604534400","905364"
"2020-11-06","1604620800","926431"
"2020-11-07","1604707200","896602"
"2020-11-08","1604793600","848151"
"2020-11-09","1604880000","923181"
"2020-11-10","1604966400","949592"
"2020-11-11","1605052800","875907"
"2020-11-12","1605139200","909409"
"2020-11-13","1605225600","929992"
"2020-11-14","1605312000","853355"
"2020-11-15","1605398400","873338"
"2020-11-16","1605484800","915263"
"2020-11-17","1605571200","941284"
"2020-11-18","1605657600","854947"
"2020-11-19","1605744000","895207"
"2020-11-20","1605830400","893861"
"2020-11-21","1605916800","913780"
"2020-11-22","1606003200","887030"
"2020-11-23","1606089600","923403"
"2020-11-24","1606176000","905207"
"2020-11-25","1606262400","883838"
"2020-11-26","1606348800","853978"
"2020-11-27","1606435200","830196"
"2020-11-28","1606521600","762473"
"2020-11-29","1606608000","748165"
"2020-11-30","1606694400","874706"
"2020-12-01","1606780800","861434"
